"RIVID","AHGFL1","AHGFL2","RIVNAME","RIVDIV","CREATED_AT","UPDATED_AT"
38,MDB,MDB_11,Billabong-Yanco Creeks,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
39,MDB,MDB_12,Murrumbidgee River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
40,MDB,MDB_13,Lachlan River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
42,MDB,MDB_15,Wimmera River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
43,MDB,MDB_16,Upper Mallee,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
44,MDB,MDB_17,Border Rivers,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
45,MDB,MDB_18,Moonie River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
46,MDB,MDB_19,Gwydir River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
47,MDB,MDB_20,Namoi River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
49,MDB,MDB_22,Macquarie-Bogan Rivers,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
50,MDB,MDB_23,Condamine-Culgoa Rivers,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
51,MDB,MDB_24,Warrego River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
52,MDB,MDB_25,Paroo River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
53,MDB,MDB_26,Darling River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
54,MDB,MDB_27,Lower Mallee,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
55,MDB,MDB_28,Lower Murray River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
56,NEC,NEC_01,Jacky Jacky Creek,North East Coast,2021-11-19 12:11:05.011 +0100,
58,NEC,NEC_03,Lockhart River,North East Coast,2021-11-19 12:11:05.011 +0100,
59,NEC,NEC_04,Stewart River,North East Coast,2021-11-19 12:11:05.011 +0100,
60,NEC,NEC_05,Normanby River,North East Coast,2021-11-19 12:11:05.011 +0100,
61,NEC,NEC_06,Jeannie River,North East Coast,2021-11-19 12:11:05.011 +0100,
62,NEC,NEC_07,Endeavour River,North East Coast,2021-11-19 12:11:05.011 +0100,
63,NEC,NEC_08,Daintree River,North East Coast,2021-11-19 12:11:05.011 +0100,
65,NEC,NEC_10,Barron River,North East Coast,2021-11-19 12:11:05.011 +0100,
66,NEC,NEC_11,Mulgrave-Russell Rivers,North East Coast,2021-11-19 12:11:05.011 +0100,
67,NEC,NEC_12,Johnstone River,North East Coast,2021-11-19 12:11:05.011 +0100,
68,NEC,NEC_13,Tully-Murray Rivers,North East Coast,2021-11-19 12:11:05.011 +0100,
69,NEC,NEC_14,Cardwell Coast,North East Coast,2021-11-19 12:11:05.011 +0100,
70,NEC,NEC_15,Hinchinbrook Island,North East Coast,2021-11-19 12:11:05.011 +0100,
72,NEC,NEC_17,Black River,North East Coast,2021-11-19 12:11:05.011 +0100,
73,NEC,NEC_18,Ross River,North East Coast,2021-11-19 12:11:05.011 +0100,
74,NEC,NEC_19,Haughton River,North East Coast,2021-11-19 12:11:05.011 +0100,
75,NEC,NEC_20,Burdekin River,North East Coast,2021-11-19 12:11:05.011 +0100,
76,NEC,NEC_21,Don River,North East Coast,2021-11-19 12:11:05.011 +0100,
77,NEC,NEC_22,Proserpine River,North East Coast,2021-11-19 12:11:05.011 +0100,
79,NEC,NEC_24,O'connell River,North East Coast,2021-11-19 12:11:05.011 +0100,
80,NEC,NEC_25,Pioneer River,North East Coast,2021-11-19 12:11:05.011 +0100,
81,NEC,NEC_26,Plane Creek,North East Coast,2021-11-19 12:11:05.011 +0100,
82,NEC,NEC_27,Styx River,North East Coast,2021-11-19 12:11:05.011 +0100,
83,NEC,NEC_28,Shoalwater Creek,North East Coast,2021-11-19 12:11:05.011 +0100,
84,NEC,NEC_29,Water Park Creek,North East Coast,2021-11-19 12:11:05.011 +0100,
86,NEC,NEC_31,Calliope River,North East Coast,2021-11-19 12:11:05.011 +0100,
87,NEC,NEC_32,Curtis Island,North East Coast,2021-11-19 12:11:05.011 +0100,
88,NEC,NEC_33,Boyne River,North East Coast,2021-11-19 12:11:05.011 +0100,
89,NEC,NEC_34,Baffle Creek,North East Coast,2021-11-19 12:11:05.011 +0100,
90,NEC,NEC_35,Kolan River,North East Coast,2021-11-19 12:11:05.011 +0100,
91,NEC,NEC_36,Burnett River,North East Coast,2021-11-19 12:11:05.011 +0100,
92,NEC,NEC_37,Burrum River,North East Coast,2021-11-19 12:11:05.011 +0100,
93,NEC,NEC_38,Mary River (QLD),North East Coast,2021-11-19 12:11:05.011 +0100,
95,NEC,NEC_40,Noosa River,North East Coast,2021-11-19 12:11:05.011 +0100,
96,NEC,NEC_41,Maroochy River,North East Coast,2021-11-19 12:11:05.011 +0100,
97,NEC,NEC_42,Pine River,North East Coast,2021-11-19 12:11:05.011 +0100,
98,NEC,NEC_43,Brisbane River,North East Coast,2021-11-19 12:11:05.011 +0100,
99,NEC,NEC_44,Stradbroke Island,North East Coast,2021-11-19 12:11:05.011 +0100,
101,NEC,NEC_46,South Coast,North East Coast,2021-11-19 12:11:05.011 +0100,
102,NWP,NWP_01,De Grey River,North Western Plateau,2021-11-19 12:11:05.011 +0100,
103,NWP,NWP_02,Sandy Desert,North Western Plateau,2021-11-19 12:11:05.011 +0100,
104,PG,PG_01,Greenough River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
2,CC,CC_02,Walker River,Carpentaria Coast,2021-11-19 12:11:05.011 +0100,
108,PG,PG_05,Yannarie River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
109,PG,PG_06,Ashburton River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
110,PG,PG_07,Onslow Coast,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
111,PG,PG_08,Fortescue River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
112,PG,PG_09,Port Hedland Coast,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
114,SAG,SAG_02,Myponga River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
115,SAG,SAG_03,Onkaparinga River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
116,SAG,SAG_04,Torrens River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
117,SAG,SAG_05,Gawler River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
118,SAG,SAG_06,Wakefield River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
119,SAG,SAG_07,Broughton River,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
121,SAG,SAG_09,Spencer Gulf,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
122,SAG,SAG_10,Eyre Peninsula,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
123,SAG,SAG_11,Kangaroo Island,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
124,SEN,SEN_01,Tweed River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
125,SEN,SEN_02,Brunswick River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
126,SEN,SEN_03,Richmond River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
127,SEN,SEN_04,Clarence River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
128,SEN,SEN_05,Bellinger River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
130,SEN,SEN_07,Hastings River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
131,SEN,SEN_08,Manning River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
132,SEN,SEN_09,Karuah River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
133,SEN,SEN_10,Hunter River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
134,SEN,SEN_11,Macquarie-Tuggerah Lakes,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
135,SEN,SEN_12,Hawkesbury River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
137,SEN,SEN_14,Wollongong Coast,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
138,SEN,SEN_15,Shoalhaven River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
139,SEN,SEN_16,Clyde River-Jervis Bay,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
140,SEN,SEN_17,Moruya River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
141,SEN,SEN_18,Tuross River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
142,SEN,SEN_19,Bega River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
143,SEN,SEN_20,Towamba River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
144,SEV,SEV_01,East Gippsland,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
146,SEV,SEV_03,Mitchell-Thomson Rivers,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
147,SEV,SEV_04,South Gippsland,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
148,SEV,SEV_05,Bunyip River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
149,SEV,SEV_06,Yarra River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
150,SEV,SEV_07,Werribee River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
151,SEV,SEV_08,Little River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
153,SEV,SEV_10,Otway Coast,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
154,SEV,SEV_11,Hopkins River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
155,SEV,SEV_12,Portland Coast,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
156,SEV,SEV_13,Glenelg River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
157,SEV,SEV_14,Millicent Coast,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
158,SWC,SWC_01,Esperance Coast,South West Coast,2021-11-19 12:11:05.011 +0100,
159,SWC,SWC_02,Albany Coast,South West Coast,2021-11-19 12:11:05.011 +0100,
160,SWC,SWC_03,Denmark River,South West Coast,2021-11-19 12:11:05.011 +0100,
161,SWC,SWC_04,Kent River,South West Coast,2021-11-19 12:11:05.011 +0100,
163,SWC,SWC_06,Shannon River,South West Coast,2021-11-19 12:11:05.011 +0100,
164,SWC,SWC_07,Warren River,South West Coast,2021-11-19 12:11:05.011 +0100,
165,SWC,SWC_08,Donnelly River,South West Coast,2021-11-19 12:11:05.011 +0100,
166,SWC,SWC_09,Blackwood River,South West Coast,2021-11-19 12:11:05.011 +0100,
167,SWC,SWC_10,Busselton Coast,South West Coast,2021-11-19 12:11:05.011 +0100,
168,SWC,SWC_11,Collie-Preston Rivers,South West Coast,2021-11-19 12:11:05.011 +0100,
169,SWC,SWC_12,Murray River (WA),South West Coast,2021-11-19 12:11:05.011 +0100,
171,SWC,SWC_14,Moore-Hill Rivers,South West Coast,2021-11-19 12:11:05.011 +0100,
172,SWP,SWP_01,Gairdner,South Western Plateau,2021-11-19 12:11:05.011 +0100,
173,SWP,SWP_02,Nullarbor,South Western Plateau,2021-11-19 12:11:05.011 +0100,
174,SWP,SWP_03,Salt Lake,South Western Plateau,2021-11-19 12:11:05.011 +0100,
175,TAS,TAS_01,Flinders-Cape Barren Islands,Tasmania,2021-11-19 12:11:05.011 +0100,
176,TAS,TAS_02,East Coast,Tasmania,2021-11-19 12:11:05.011 +0100,
177,TAS,TAS_03,Coal River,Tasmania,2021-11-19 12:11:05.011 +0100,
178,TAS,TAS_04,Derwent River,Tasmania,2021-11-19 12:11:05.011 +0100,
180,TAS,TAS_06,Huon River,Tasmania,2021-11-19 12:11:05.011 +0100,
181,TAS,TAS_07,South-West Coast,Tasmania,2021-11-19 12:11:05.011 +0100,
182,TAS,TAS_08,Gordon River,Tasmania,2021-11-19 12:11:05.011 +0100,
183,TAS,TAS_09,King-Henty Rivers,Tasmania,2021-11-19 12:11:05.011 +0100,
184,TAS,TAS_10,Pieman River,Tasmania,2021-11-19 12:11:05.011 +0100,
186,TAS,TAS_12,Arthur River,Tasmania,2021-11-19 12:11:05.011 +0100,
187,TAS,TAS_13,King Island,Tasmania,2021-11-19 12:11:05.011 +0100,
188,TAS,TAS_14,Smithton-Burnie Coast,Tasmania,2021-11-19 12:11:05.011 +0100,
189,TAS,TAS_15,Forth River,Tasmania,2021-11-19 12:11:05.011 +0100,
190,TAS,TAS_16,Mersey River,Tasmania,2021-11-19 12:11:05.011 +0100,
192,TAS,TAS_18,Tamar River,Tasmania,2021-11-19 12:11:05.011 +0100,
193,TAS,TAS_19,Piper-Ringarooma Rivers,Tasmania,2021-11-19 12:11:05.011 +0100,
194,TTS,TTS_01,Cape Leveque Coast,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
195,TTS,TTS_02,Fitzroy River (WA),Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
197,TTS,TTS_04,Isdell River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
198,TTS,TTS_05,Prince Regent River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
199,TTS,TTS_06,King Edward River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
200,TTS,TTS_07,Drysdale River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
201,TTS,TTS_08,Ord-Pentecost Rivers,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
202,TTS,TTS_09,Keep River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
203,TTS,TTS_10,Victoria River-wiso,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
205,TTS,TTS_12,Moyle River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
206,TTS,TTS_13,Daly River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
106,PG,PG_03,Wooramel River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
185,TAS,TAS_11,Sandy Cape Coast,Tasmania,2021-11-19 12:11:05.011 +0100,
1,CC,CC_01,Koolatong River,Carpentaria Coast,2021-11-19 12:11:05.011 +0100,
3,CC,CC_03,Groote Eylandt,Carpentaria Coast,2021-11-19 12:11:05.011 +0100,
10,CC,CC_10,Calvert River,Carpentaria Coast,2021-11-19 12:11:05.011 +0100,
16,CC,CC_16,Mitchell-Coleman Rivers (QLD),Carpentaria Coast,2021-11-19 12:11:05.011 +0100,
25,LEB,LEB_01,Cooper Creek-Bulloo River,Lake Eyre Basin,2021-11-19 12:11:05.011 +0100,
32,MDB,MDB_05,Goulburn River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
41,MDB,MDB_14,Benanee-Willandra Creek,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
48,MDB,MDB_21,Castlereagh River,Murray-Darling Basin,2021-11-19 12:11:05.011 +0100,
57,NEC,NEC_02,Olive-Pascoe Rivers,North East Coast,2021-11-19 12:11:05.011 +0100,
64,NEC,NEC_09,Mossman River,North East Coast,2021-11-19 12:11:05.011 +0100,
71,NEC,NEC_16,Herbert River,North East Coast,2021-11-19 12:11:05.011 +0100,
78,NEC,NEC_23,Whitsunday Islands,North East Coast,2021-11-19 12:11:05.011 +0100,
85,NEC,NEC_30,Fitzroy River (QLD),North East Coast,2021-11-19 12:11:05.011 +0100,
94,NEC,NEC_39,Fraser Island,North East Coast,2021-11-19 12:11:05.011 +0100,
100,NEC,NEC_45,Logan-Albert Rivers,North East Coast,2021-11-19 12:11:05.011 +0100,
105,PG,PG_02,Murchison River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
107,PG,PG_04,Gascoyne River,Pilbara-Gascoyne,2021-11-19 12:11:05.011 +0100,
113,SAG,SAG_01,Fleurieu Peninsula,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
120,SAG,SAG_08,Lake Torrens-Mambray Coast,South Australian Gulf,2021-11-19 12:11:05.011 +0100,
129,SEN,SEN_06,Macleay River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
136,SEN,SEN_13,Sydney Coast-Georges River,South East Coast (NSW),2021-11-19 12:11:05.011 +0100,
145,SEV,SEV_02,Snowy River,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
152,SEV,SEV_09,Barwon River-Lake Corangamite,South East Coast (Victoria),2021-11-19 12:11:05.011 +0100,
162,SWC,SWC_05,Frankland-Deep Rivers,South West Coast,2021-11-19 12:11:05.011 +0100,
170,SWC,SWC_13,Swan Coast-Avon River,South West Coast,2021-11-19 12:11:05.011 +0100,
179,TAS,TAS_05,Kingston Coast,Tasmania,2021-11-19 12:11:05.011 +0100,
191,TAS,TAS_17,Rubicon River,Tasmania,2021-11-19 12:11:05.011 +0100,
196,TTS,TTS_03,Lennard River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
204,TTS,TTS_11,Fitzmaurice River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
207,TTS,TTS_14,Finniss River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
208,TTS,TTS_15,Bathurst-Melville Islands,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
209,TTS,TTS_16,Adelaide River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
210,TTS,TTS_17,Mary River (NT),Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
211,TTS,TTS_18,Wildman River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
212,TTS,TTS_19,South Alligator River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
213,TTS,TTS_20,East Alligator River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
214,TTS,TTS_21,Goomadeer River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
215,TTS,TTS_22,Liverpool River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
216,TTS,TTS_23,Blyth River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
217,TTS,TTS_24,Goyder River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
218,TTS,TTS_25,Buckingham River,Tanami-Timor Sea Coast,2021-11-19 12:11:05.011 +0100,
-9999,NA,NA,NA,NA,2021-11-19 12:11:05.011 +0100,
